о: 0.08725577264653642  |  у: 0.08725577264653642
а: 0.07260213143872114  |  е: 0.07260213143872114
и: 0.07060390763765542  |  н: 0.07060390763765542
т: 0.06793960923623446  |  ч: 0.06793960923623446
е: 0.06460923623445826  |  ъ: 0.06460923623445826
н: 0.05350799289520426  |  в: 0.05350799289520426
с: 0.049955595026642985  |  ж: 0.049955595026642985
р: 0.04151865008880995  |  х: 0.04151865008880995
л: 0.03663410301953819  |  а: 0.03663410301953819
в: 0.03574600355239787  |  з: 0.03574600355239787
к: 0.02997335701598579  |  п: 0.02997335701598579
м: 0.02575488454706927  |  с: 0.02575488454706927
п: 0.021758436944937832  |  д: 0.021758436944937832
з: 0.019094138543516874  |  ь: 0.019094138543516874
я: 0.018428063943161634  |  ф: 0.018428063943161634
ы: 0.016873889875666074  |  р: 0.016873889875666074
д: 0.016873889875666074  |  й: 0.016873889875666074
у: 0.014875666074600355  |  и: 0.014875666074600355
ч: 0.013321492007104795  |  ц: 0.013321492007104795
б: 0.013321492007104795  |  м: 0.013321492007104795
ь: 0.013099467140319716  |  б: 0.013099467140319716
ф: 0.009325044404973356  |  ю: 0.009325044404973356
й: 0.009325044404973356  |  щ: 0.009325044404973356
г: 0.008436944937833037  |  ш: 0.008436944937833037
ш: 0.0077708703374777975  |  э: 0.0077708703374777975
х: 0.007548845470692718  |  к: 0.007548845470692718
ю: 0.005550621669626998  |  г: 0.005550621669626998
ж: 0.0042184724689165185  |  л: 0.0042184724689165185
ц: 0.002886323268206039  |  ы: 0.002886323268206039
щ: 0.0024422735346358794  |  о: 0.0024422735346358794
n: 0.0019982238010657193  |  s: 0.0019982238010657193
э: 0.0017761989342806395  |  т: 0.0017761989342806395
o: 0.0017761989342806395  |  j: 0.0017761989342806395
t: 0.0015541740674955595  |  q: 0.0015541740674955595
p: 0.0015541740674955595  |  a: 0.0015541740674955595
l: 0.0013321492007104796  |  k: 0.0013321492007104796
»: 0.0011101243339253996  |  »: 0.0011101243339253996
«: 0.0011101243339253996  |  «: 0.0011101243339253996
y: 8.880994671403197E-4  |  x: 8.880994671403197E-4
k: 6.660746003552398E-4  |  u: 6.660746003552398E-4
h: 6.660746003552398E-4  |  t: 6.660746003552398E-4
u: 4.440497335701599E-4  |  v: 4.440497335701599E-4
r: 4.440497335701599E-4  |  i: 4.440497335701599E-4
e: 4.440497335701599E-4  |  h: 4.440497335701599E-4
d: 4.440497335701599E-4  |  e: 4.440497335701599E-4
w: 2.2202486678507994E-4  |  w: 2.2202486678507994E-4
j: 2.2202486678507994E-4  |  p: 2.2202486678507994E-4
c: 2.2202486678507994E-4  |  n: 2.2202486678507994E-4
b: 2.2202486678507994E-4  |  c: 2.2202486678507994E-4
